Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
2525,184,3/3/2018,Mueller,South Dakota State,Moore,Oklahoma State,0.75,420,1,0,0,0,2,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,1,0,2,0,0,3,1,1,0,0,0,1
2526,184,3/3/2018,Moore,Oklahoma State,Mueller,South Dakota State,1.25,420,0,0,0,0,0,0,3,1,3,2,1,1,0,2,0,0,3,1,1,0,0,0,1,1,0,0,0,2,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2527,184,3/3/2018,Polson,Wyoming,Pestano,Iowa State,1.5,163,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,184,3/3/2018,Pestano,Iowa State,Polson,Wyoming,0.5,163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0
2529,184,3/3/2018,Ikehara,Air Force,McRill,West Virginia,1.1,420,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2530,184,3/3/2018,McRill,West Virginia,Ikehara,Air Force,0.9,420,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,1,0,1
2531,184,3/3/2018,Polson,Wyoming,Waddell,Oklahoma,1.5,420,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,2,0,0,1,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2532,184,3/3/2018,Waddell,Oklahoma,Polson,Wyoming,0.5,420,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,2,0,0,1
2533,184,3/3/2018,Jantzer,Utah Valley,Brandt,Fresno State,1.1,420,1,1,0,0,0,0,3,2,4,1,1,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,4,5,0,0,0,0,0,0,1,0,0
2534,184,3/3/2018,Brandt,Fresno State,Jantzer,Utah Valley,0.9,420,1,0,0,0,4,0,0,0,2,0,0,0,4,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,2,4,1,1,1,0,1,0,0,1,3,0,0,0,0,1
2535,184,3/3/2018,Popp,North Dakota State,Pestano,Iowa State,0.9,420,0,0,1,0,0,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0,3,0,2,1,0,0,3,1,2,1,0,0,0,2,0,0,2,1,0,0,0,0,0
2536,184,3/3/2018,Pestano,Iowa State,Popp,North Dakota State,1.1,420,3,0,2,1,0,0,3,1,2,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0
2537,184,3/3/2018,Ikehara,Air Force,Foster,Northern Iowa,0.9,420,2,0,2,0,0,0,0,0,2,0,0,1,5,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,2,2,0,1,1,0,0,1,1,0,0,5,4,0,0,0,0,1
2538,184,3/3/2018,Foster,Northern Iowa,Ikehara,Air Force,1.1,420,2,0,1,0,2,2,2,0,1,1,0,0,1,1,0,0,5,4,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,1,5,0,0,0,1,0,0,0,0,0,0
2539,184,3/3/2018,Jantzer,Utah Valley,Gabel,Northern Colorado,0.9,420,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,5,0,1,0,1,0,1
2540,184,3/3/2018,Gabel,Northern Colorado,Jantzer,Utah Valley,1.1,420,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,5,0,1,0,1,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,184,3/3/2018,Mueller,South Dakota State,Pestano,Iowa State,1.1,420,2,0,3,2,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,5,1,0,0,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2542,184,3/3/2018,Pestano,Iowa State,Mueller,South Dakota State,0.9,420,1,0,5,1,0,0,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1
